"filename", "language", "JavaScript", "JSON with Comments", "JSON", "Properties", "TypeScript", "Markdown", "HTML", "PostCSS", "XML", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\Layout\dispatcherLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 26, 179
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\Layout\masterLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 15, 110
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\Layout\mechanicLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 23, 142
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\Layout\stokekeeperLayout.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 0, 48, 334
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\dispatcher\DispatcherMechanics.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 21, 160
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\dispatcher\DispatcherRequests.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 285, 1, 51, 337
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\dispatcher\DispatcherSchedule.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 30, 177
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\dispatcher\reports.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 1, 29, 170
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\equipment\addEquipment.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 16, 117
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\equipment\listEquipments.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 22, 126
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\login\login.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 12, 75
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\mechanic\mechanicRequests.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338, 1, 52, 391
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\mechanic\purchasesPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 17, 121
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\mechanic\warehousePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257, 0, 45, 302
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\request\addRequest.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 16, 122
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\request\listRequest.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 36, 236
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\storekeeper\inventory.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 541, 0, 89, 630
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\storekeeper\stokekeeperReports.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 603, 4, 101, 708
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\storekeeper\stokekeeperRequests.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 39, 260
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\user\addUser.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 13, 96
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\user\listUsers.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\workshop\addWorkshop.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 14, 101
"d:\Диплом\accounting_of_working\test\src\shared\styles\pages\workshop\listWorkshop.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 18, 104
"d:\Диплом\accounting_of_working\test\src\shared\types\index.ts", "TypeScript", 0, 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 8, 17, 142
"d:\Диплом\accounting_of_working\test\src\store\auth\slice.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"d:\Диплом\accounting_of_working\test\src\store\auth\thunks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 4, 37
"d:\Диплом\accounting_of_working\test\src\store\auth\types.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 1, 4, 20
"d:\Диплом\accounting_of_working\test\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Диплом\accounting_of_working\test\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Диплом\accounting_of_working\test\tsconfig.app.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"d:\Диплом\accounting_of_working\test\tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Диплом\accounting_of_working\test\tsconfig.node.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\Диплом\accounting_of_working\test\vite.config.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 27, 7, 4549, 1, 436, 45, 454, 82, 2, 4826, 4617, 195, 1518, 16759
